rank,lat,lon,returns,dwell,nscen,d_fixed_m,fixed_class,d_radar_m,d_shore_m,d_aid_m,d_ownship_m,d_ais_m,in_coverage,in_moorarea,class
333,42.379409,-71.049363,10,0.626,1,3.5,SLCONS,3.5,3.5,800.6,295.0,265.1,0,0,SUPPRESS_CHARTED
334,42.376728,-71.049655,10,0.875,1,4.7,SLCONS,4.7,4.7,667.3,257.4,547.6,0,0,SUPPRESS_CHARTED
335,42.376959,-71.050788,10,0.886,1,3.6,BUISGL,3.6,95.7,738.0,353.6,559.8,0,0,SUPPRESS_CHARTED
336,42.378522,-71.048473,10,0.844,1,41.7,SLCONS,41.7,41.7,815.4,202.6,329.6,0,0,SUPPRESS_CHARTED
337,42.376457,-71.041073,10,0.784,1,10.8,SLCONS,10.8,10.8,673.1,437.9,418.6,0,0,SUPPRESS_CHARTED
338,42.376467,-71.042089,10,0.742,1,14.9,SLCONS,47.0,47.0,630.5,355.6,394.3,0,0,SUPPRESS_CHARTED
339,42.377644,-71.049047,10,0.719,1,4.6,SLCONS,4.6,4.6,738.1,229.9,435.7,0,0,SUPPRESS_CHARTED
340,42.377631,-71.048111,10,0.572,1,26.3,SLCONS,26.3,26.3,712.0,153.7,423.2,0,0,SUPPRESS_CHARTED
341,42.378751,-71.049355,10,0.792,1,74.2,SLCONS,74.2,74.2,851.1,279.2,328.9,0,0,UNKNOWN_OUTCOV
342,42.377854,-71.042359,10,0.680,1,4.7,SLCONS,8.7,8.7,712.3,304.0,238.7,0,0,SUPPRESS_CHARTED
343,42.379666,-71.049357,10,0.699,1,25.7,SLCONS,25.7,25.7,781.2,304.7,241.2,0,0,SUPPRESS_CHARTED
344,42.376935,-71.042960,10,0.596,1,7.5,SLCONS,68.7,68.7,648.3,276.1,335.9,0,0,UNKNOWN_OUTCOV
345,42.376257,-71.048396,10,0.657,1,6.5,PONTON,6.5,61.7,575.1,146.0,577.6,0,0,SUPPRESS_CHARTED
346,42.379391,-71.051186,10,0.532,1,10.7,BUISGL,10.7,15.9,805.4,439.4,369.1,0,0,SUPPRESS_CHARTED
347,42.376963,-71.050155,9,0.802,2,3.7,BUISGL,3.7,47.0,710.4,302.7,537.2,0,0,SUPPRESS_CHARTED
348,42.374943,-71.050888,9,0.695,2,28.7,BUISGL,28.7,6.3,573.1,363.3,604.9,1,0,SUPPRESS_CHARTED
349,42.374681,-71.044547,9,0.804,2,69.4,SLCONS,144.2,170.0,369.4,219.4,600.9,1,0,UNKNOWN_INCOV
350,42.374013,-71.049676,9,0.759,2,20.5,SLCONS,20.5,20.5,430.0,324.3,601.6,1,0,SUPPRESS_CHARTED
351,42.374888,-71.048727,9,0.636,2,7.0,PONTON,7.0,25.3,452.5,203.5,723.6,1,0,SUPPRESS_CHARTED
352,42.378465,-71.051127,9,0.845,2,21.5,BUISGL,21.5,110.6,895.0,413.3,436.5,0,0,SUPPRESS_CHARTED
353,42.375604,-71.052085,9,0.365,2,11.4,BUISGL,11.4,67.2,695.4,447.2,614.9,0,0,SUPPRESS_CHARTED
354,42.374294,-71.049313,9,0.379,2,9.7,PONTON,9.7,22.8,430.2,281.5,644.3,1,0,SUPPRESS_CHARTED
355,42.374498,-71.048132,9,0.417,2,6.3,PONTON,6.3,90.5,389.8,196.8,735.4,1,0,SUPPRESS_CHARTED
356,42.374907,-71.050526,9,0.522,2,10.0,SLCONS,10.0,10.0,548.6,336.3,620.6,1,0,SUPPRESS_CHARTED
357,42.355364,-71.083981,9,0.547,1,128.3,SLCONS,128.3,94.7,3000.7,321.6,2816.6,1,0,UNKNOWN_INCOV
358,42.361443,-71.083682,9,0.268,3,79.8,BUISGL,79.8,154.4,2962.3,408.2,2519.2,1,0,UNKNOWN_INCOV
359,42.359792,-71.083398,9,0.748,3,53.7,SLCONS,53.7,46.9,2927.6,265.5,2576.6,1,0,UNKNOWN_INCOV
360,42.360273,-71.088322,9,0.799,1,451.5,SLCONS,451.5,451.5,3333.9,219.5,2920.9,1,0,KEEP_INCOV_UNCHARTED
361,42.360558,-71.088569,9,0.774,2,473.2,BUISGL,473.2,473.3,3355.6,256.3,2927.6,1,0,KEEP_INCOV_UNCHARTED
362,42.360297,-71.082800,9,0.648,3,8.3,SLCONS,8.3,8.3,2880.8,310.7,2507.4,1,0,SUPPRESS_CHARTED
363,42.358268,-71.091374,9,0.866,2,728.8,SLCONS,728.8,702.1,3582.2,311.0,3240.1,1,0,KEEP_INCOV_UNCHARTED
364,42.359430,-71.085879,9,0.817,2,259.4,SLCONS,259.4,250.7,3130.4,153.1,2776.8,1,0,KEEP_INCOV_UNCHARTED
365,42.354213,-71.083995,9,0.627,2,104.5,SLCONS,104.5,104.5,3021.6,430.9,2823.2,1,0,KEEP_INCOV_UNCHARTED
366,42.361807,-71.085534,9,0.912,2,227.1,BUISGL,227.1,284.8,3117.7,406.9,2644.6,1,0,KEEP_INCOV_UNCHARTED
367,42.360321,-71.084331,9,0.752,2,124.1,SLCONS,124.1,124.1,3006.5,272.6,2619.2,1,0,KEEP_INCOV_UNCHARTED
368,42.354527,-71.082837,9,0.678,3,6.6,SLCONS,6.6,6.6,2921.9,380.4,2726.5,1,0,SUPPRESS_CHARTED
369,42.358508,-71.084088,9,0.428,2,198.1,SLCONS,198.1,103.6,2983.2,136.0,2694.3,1,0,KEEP_INCOV_UNCHARTED
370,42.360026,-71.082852,9,0.975,3,1.9,SLCONS,1.9,1.9,2883.6,299.7,2524.7,1,0,SUPPRESS_CHARTED
371,42.359546,-71.089505,9,0.503,2,551.2,SLCONS,551.2,548.6,3428.5,212.1,3042.0,1,0,KEEP_INCOV_UNCHARTED
372,42.359599,-71.087064,9,0.771,2,351.3,SLCONS,351.3,348.1,3228.1,134.2,2856.6,1,0,KEEP_INCOV_UNCHARTED
373,42.355988,-71.092001,9,0.960,1,769.6,SLCONS,769.6,657.2,3647.9,428.6,3399.0,1,0,KEEP_INCOV_UNCHARTED
374,42.360289,-71.083791,9,0.397,2,79.7,SLCONS,79.7,79.7,2962.1,289.8,2580.7,1,0,UNKNOWN_INCOV
375,42.356245,-71.092182,9,0.913,1,790.3,SLCONS,790.3,642.4,3660.2,428.5,3398.8,1,0,KEEP_INCOV_UNCHARTED
376,42.358887,-71.088869,9,0.708,1,512.3,SLCONS,512.3,496.3,3375.6,127.4,3024.5,1,0,KEEP_INCOV_UNCHARTED
377,42.357322,-71.084030,9,0.498,2,316.5,SLCONS,316.5,98.7,2983.6,155.3,2757.4,1,0,UNKNOWN_INCOV
378,42.357614,-71.083771,9,0.649,2,279.3,SLCONS,279.3,77.4,2960.5,160.9,2722.2,1,0,UNKNOWN_INCOV
379,42.361228,-71.078554,9,0.665,1,3.9,BRIDGE,3.9,17.8,2540.7,279.7,2150.0,1,0,SUPPRESS_CHARTED
380,42.362175,-71.077960,9,0.592,1,17.3,SLCONS,17.3,28.7,2505.0,394.9,2058.3,1,0,SUPPRESS_CHARTED
381,42.358942,-71.074599,9,0.613,1,42.1,PONTON,42.1,5.9,2203.2,385.7,2009.7,1,0,SUPPRESS_CHARTED
382,42.357413,-71.075116,9,0.644,1,11.2,SLCONS,11.2,11.2,2252.2,367.0,2063.9,1,0,SUPPRESS_CHARTED
383,42.356034,-71.075773,9,0.864,1,53.6,SLCONS,53.6,53.6,2322.5,403.0,2139.4,1,0,UNKNOWN_INCOV
384,42.360946,-71.080124,9,0.917,1,5.0,BRIDGE,5.0,17.7,2666.3,240.1,2278.8,1,0,SUPPRESS_CHARTED
385,42.361654,-71.080338,9,0.917,1,4.4,BUISGL,4.4,63.1,2691.4,320.8,2259.3,1,0,SUPPRESS_CHARTED
386,42.361815,-71.079439,9,0.896,1,34.9,BUISGL,34.9,62.1,2620.1,332.9,2185.0,1,0,SUPPRESS_CHARTED
387,42.356931,-71.074882,9,0.550,1,32.2,SLCONS,32.2,32.2,2237.8,406.3,2051.4,1,0,SUPPRESS_CHARTED
388,42.361620,-71.079771,9,0.844,1,34.2,BUISGL,34.2,45.2,2644.7,311.3,2219.0,1,0,SUPPRESS_CHARTED
389,42.361225,-71.081607,9,0.772,1,4.2,BUISGL,4.2,61.9,2790.4,314.4,2373.9,1,0,SUPPRESS_CHARTED
390,42.355166,-71.080688,9,0.782,1,2.0,SLCONS,2.0,2.0,2736.2,276.2,2547.8,1,0,SUPPRESS_CHARTED
391,42.355379,-71.079825,9,0.564,1,4.5,SLCONS,4.5,4.5,2662.5,267.5,2476.6,1,0,SUPPRESS_CHARTED
392,42.377388,-71.051196,9,0.907,1,5.4,BUISGL,5.4,144.7,796.3,396.5,535.6,0,0,SUPPRESS_CHARTED
393,42.373966,-71.049437,9,0.595,1,9.6,SLCONS,9.6,9.6,411.8,313.2,613.8,1,0,SUPPRESS_CHARTED
394,42.374912,-71.049629,9,0.918,1,6.0,PONTON,6.0,47.5,498.8,267.5,671.0,1,0,SUPPRESS_CHARTED
395,42.376873,-71.051250,9,0.584,1,7.4,BUISGL,7.4,128.6,752.4,389.0,586.6,0,0,SUPPRESS_CHARTED
396,42.374244,-71.049686,9,0.657,1,7.2,SLCONS,7.2,7.2,447.8,309.1,617.2,1,0,SUPPRESS_CHARTED
